asset_id,asset_type,path,source_artifact,is_versioned,role,notes
config,yaml,config.yaml,configs/default.yaml,true,configuration,Configuration snapshot.
final_demo_report,html,FINAL_DEMO_REPORT.html,experiments/test_035_human_review/dashboard/dashboard.html|experiments/test_035_human_review/reel/reel_demo.html|experiments/test_035_human_review/human_review_panel.html|experiments/test_027_level3_closure/LEVEL3_CLOSURE_SUMMARY.md|experiments/test_027_level3_closure/closure_checks.csv|experiments/test_026_level3_multiclip/level3_multiclip_comparison.csv|experiments/test_034_full_analysis/level3_events/level3_narrative.md,true,report,Executive local report.
summary,md,summary.md,FINAL_DEMO_REPORT.html,true,summary,Report package summary.
manifest,csv,final_demo_report_manifest.csv,FINAL_DEMO_REPORT.html,true,manifest,Report asset manifest.
storyboard,png,assets/highlight_storyboard.png,experiments/test_034_full_analysis/level3_visualizations/highlight_storyboard.png,true,capture,Storyboard de highlights
interaction_graph,png,assets/interaction_graph.png,experiments/test_034_full_analysis/level3_visualizations/interaction_graph.png,true,capture,Grafo de interaccion
reel_contact_sheet,png,assets/reel_contact_sheet.png,experiments/test_035_human_review/reel/reel_contact_sheet.png,true,capture,Contact sheet del reel
dashboard_html,html,../test_035_human_review/dashboard/dashboard.html,experiments/test_035_human_review/dashboard/dashboard.html,true,linked_evidence,Relative link to versioned evidence.
reel_html,html,../test_035_human_review/reel/reel_demo.html,experiments/test_035_human_review/reel/reel_demo.html,true,linked_evidence,Relative link to versioned evidence.
review_panel_html,html,../test_035_human_review/human_review_panel.html,experiments/test_035_human_review/human_review_panel.html,true,linked_evidence,Relative link to versioned evidence.
closure_summary_md,md,../test_027_level3_closure/LEVEL3_CLOSURE_SUMMARY.md,experiments/test_027_level3_closure/LEVEL3_CLOSURE_SUMMARY.md,true,linked_evidence,Relative link to versioned evidence.
closure_checks_csv,csv,../test_027_level3_closure/closure_checks.csv,experiments/test_027_level3_closure/closure_checks.csv,true,linked_evidence,Relative link to versioned evidence.
multiclip_comparison_csv,csv,../test_026_level3_multiclip/level3_multiclip_comparison.csv,experiments/test_026_level3_multiclip/level3_multiclip_comparison.csv,true,linked_evidence,Relative link to versioned evidence.
narrative_md,md,../test_034_full_analysis/level3_events/level3_narrative.md,experiments/test_034_full_analysis/level3_events/level3_narrative.md,true,linked_evidence,Relative link to versioned evidence.
